CVE,Highest_Threshold,Group_Size,Is_Base_CVE,Ratio_Score,Token_Sort_Score,Token_Set_Score,Similar_CVEs
CVE-2021-33019,85.0,2.0,False,86.04651162790698,86.51162790697674,88.57142857142857,CVE-2020-27281
CVE-2021-33438,90.0,2.0,True,,,,CVE-2021-33443
CVE-2021-33443,90.0,2.0,False,93.89067524115755,90.03215434083602,95.0,CVE-2021-33438
CVE-2021-33448,75.0,13.0,False,78.04878048780488,72.47386759581882,79.82456140350877,CVE-2021-33437|CVE-2021-33439|CVE-2021-33441|CVE-2021-33444|CVE-2021-33442|CVE-2021-33440|CVE-2021-33449|CVE-2021-33446|CVE-2021-33447|CVE-2021-33445|CVE-2021-33438|CVE-2021-33443
CVE-2021-33545,95.0,4.0,False,98.1651376146789,96.3302752293578,98.13953488372093,CVE-2021-33549|CVE-2021-33546|CVE-2021-33547
CVE-2021-33657,,,False,,,,
CVE-2021-33912,85.0,2.0,True,,,,CVE-2021-33913
CVE-2021-33913,85.0,2.0,False,86.4367816091954,86.4367816091954,96.68615984405459,CVE-2021-33912
CVE-2021-33945,,,False,,,,
CVE-2021-3434,,,False,,,,
CVE-2021-34583,80.0,2.0,False,81.4621409921671,80.4177545691906,82.75862068965517,CVE-2021-34584
CVE-2021-34874,95.0,10.0,False,96.46643109540636,95.0530035335689,94.87750556792874,CVE-2021-46598|CVE-2021-34934|CVE-2019-17135|CVE-2020-17426|CVE-2021-31493|CVE-2021-31495|CVE-2022-42377|CVE-2022-24063|CVE-2021-34859
CVE-2021-34934,95.0,10.0,False,97.51773049645391,96.98581560283688,96.64429530201342,CVE-2021-46598|CVE-2021-34874|CVE-2019-17135|CVE-2020-17426|CVE-2021-31493|CVE-2021-31495|CVE-2022-42377|CVE-2022-24063|CVE-2021-34859
CVE-2021-35005,90.0,13.0,False,91.82813816343723,89.30075821398484,91.98218262806236,CVE-2020-8876|CVE-2020-17393|CVE-2020-17398|CVE-2020-8872|CVE-2021-31430|CVE-2021-31431|CVE-2021-31432|CVE-2021-27260|CVE-2021-27244|CVE-2020-17394|CVE-2020-17401|CVE-2020-8875
CVE-2021-35090,75.0,7.0,False,76.51331719128329,67.79661016949152,68.93617021276596,CVE-2021-35085|CVE-2022-25663|CVE-2021-1966|CVE-2021-1965|CVE-2021-35102|CVE-2021-1912
CVE-2021-35091,,,False,,,,
CVE-2021-35098,90.0,2.0,False,93.7984496124031,92.63565891472868,95.78313253012048,CVE-2022-22080
CVE-2021-35110,,,False,,,,
CVE-2021-35120,70.0,2.0,True,,,,CVE-2021-35096
CVE-2021-35121,,,False,,,,
CVE-2021-35132,80.0,3.0,False,82.46268656716418,80.97014925373134,86.80555555555556,CVE-2020-11195|CVE-2020-11288
CVE-2021-35134,,,False,,,,
CVE-2021-3575,70.0,2.0,True,,,,CVE-2021-23169
CVE-2021-3609,,,False,,,,
CVE-2021-3610,,,False,,,,
CVE-2021-3611,,,False,,,,
CVE-2021-36173,,,False,,,,
CVE-2021-36193,80.0,2.0,False,81.51658767772511,77.72511848341233,88.26815642458101,CVE-2021-36194
CVE-2021-36194,80.0,2.0,True,,,,CVE-2021-36193
CVE-2021-3622,70.0,2.0,False,70.90103397341213,71.19645494830134,79.54022988505747,CVE-2021-3504
CVE-2021-36347,,,False,,,,
